Пройденные курсы			
"Professional Certificate: Leadership Essentials (Профессиональная сертификация по теме ""Основы лидерства"")
 1) Critical Thinking & Problem Solving                                        (Критическое мышление и решение проблем)                                2) Business Communication (Деловое общение)                         3) Teamwork & Collaboration (Командная работа и сотрудничество)"	Rochester Institute of Technology (Технологический институт Рочестер)                                 Платформа edX	Электронный	Проффессиона-льный                  сертификат 1.Сертификат         2.Сертификат  3.Сертификат
Essentials of Team Collaboration                     (Основы командного сотрудничества)	LinkedIn Learning	Электронный	Сертификат
Специалист по Абу-Даби	Департамент культуры и туризма Абу-Даби	Электронный	Сертификат
Jumeirah Beacon	Jumeirah Hotels & Resorts	Электронный	Сертификат
Italy Online Training	Italian Tourist Board UK & Ireland	Электронный	Сертификат
Specialization: Energy Production, Distribution & Safety                    (Специализация: производство, распределение и безопасность энергии)              1) Electric Power Systems (Электроэнергетические системы)                                  2) Natural Gas                           (Природный газ)                                                     3) Safety in the Utility Industry (Безопасность в коммунальном хозяйстве)                 4) Energy: The Enterprise (Энергия: Предприятие)	University at Buffalo, The State University of New York                            (Университет штата Нью-Йорк в Буффало)                                         платформа Сoursera 	Электронный	Сертифкат по специализации 1.Сертификат 2.Сертификат 3.Сертификат  4.Сертификат
Bioseguridad y equipo de protección para la prevención de COVID-19                                         (Средства биобезопасности и защиты для профилактики COVID-19)	Universidad Galileo                   (Университет Галилео) Платформа edX	Электронный	Сертификат
"Specialization: Microsoft 365 Fundamentals (Специализация: Основы Microsoft 365)                                    1) Work Smarter with Microsoft Word                                       (Работайте эффективнее с Microsoft Word)                               2) Work Smarter with Microsoft Excel                                 (Работайте эффективнее с Microsoft Excel)                         3) Work Smarter with Microsoft PowerPoint
(Работайте эффективнее с Microsoft PowerPoint)
"	платформа Сoursera	Электронный	Сертифкат по специализации 1.Сертификат 2.Сертификат 3.Сертификат
Многосайтовость	1С-Битрикс: Управление сайтом	Электронный	Сертификат
Basic Training Course on IAEA Safeguards                            (Базовый учебный курс по гарантиям МАГАТЭ)	IAEA - International Atomic Energy Agency (МАГАТЭ-Международное агентство по атомной энергии)	Электронный	Сертификат
Introduction to Technical Support                         (Введение в техническую поддержку)	IBM                                         платформа Сoursera	Электронный	Сертификат
Success Mindset              (Мышление успеха)	HP Life	Электронный	Сертификат
Wildland Fire Assessment Program                           (Программа оценки лесных пожаров)	National Volunteer Fire Council (NVFC)	Электронный	Сертификат
Думай інакше: Зламай перешкоди на шляху до навчання та відкрий свій прихований потенціал	Платформа обучения Prometheus	Электронный	Сертификат
Types of Conflict                        (Типы конфликтов)	University of California, Irvine                 (Калифорнийский университет в Ирвайне)                            платформа Сoursera	Электронный	Сертификат
Word та Excel: інструменти і лайфхаки	Платформа обучения Prometheus	Электронный	Сертификат
Доставляемость email-рассылок	Sendpulse Academy	Электронный	Сертификат
Introduction to Hardware and Operating Systems                  (Введение в аппаратное обеспечение и операционные системы)	IBM                                         платформа Сoursera	Электронный	Сертификат
Introduction to Software, Programming, and Databases (Введение в программное обеспечение, программирование и базы данных)	IBM                                         платформа Сoursera	Электронный	Сертификат
Vocational Education and Training                            (Профессиональное образование и обучение)	EU International Partnerships Academy                      (Академия международного партнерства ЕС)	Электронный	Сертификат
Response Considerations During an Outbreak or Pandemic                         (Рекомендации по реагированию во время вспышки или пандемии)	FEMA                                          (Федеральное агентство по управлению в чрезвычайных ситуациях США)	Электронный	Сертификат
Introduction to Networking and Storage                                       (Введение в сеть и хранилище)	IBM                                         платформа Сoursera	Электронный	Сертификат
Introduction to Cybersecurity Essentials                                (Введение в основы кибербезопасности)	IBM                                         платформа Сoursera	Электронный	Сертификат    Значок
What Keeps You Awake at Night: Risk, Leading Change, and Challenging Decisions          (Что не дает вам спать по ночам: риск, лидерство в переменах и сложные решения)	Forensic Technology Center of Excellence                                   (Центр передового опыта судебно-медицинской экспертизы)	Электронный	Сертификат
Civil Rights in American History                        (Гражданские права в американской истории)	Hillsdale College                     (Колледж Хилсдейл)	Электронный	Сертификат
Flammable Liquids Safety Training                                (Обучение безопасному обращению с легковоспламеняющимися жидкостями)	TRANSCAER (Осведомленность транспортного сообщества и реагирование на чрезвычайные ситуации)	Электронный	Сертификат
Introduction to Cloud Computing (Введение в облачные вычисления)	IBM                                         платформа Сoursera	Электронный	Сертификат    Значок
Technical Support Case Studies and Capstone                               (Тематические исследования технической поддержки и Capstone)	IBM                                         платформа Сoursera	Электронный	Сертификат
IBM Technical Support (Техническая поддержка IBM)	IBM                                         платформа Сoursera	Электронный	Профессиональный сертификат                      Значок
Leading From the Emerging Future	Massachusetts Institute of Technology                   (Массачусетский технологический институт) Платформа edX	Электронный	Сертификат
 Introduction to Human Resources (HR) Leadership and HR Management Strategies (Введение в управление человеческими ресурсами (HR) и стратегии управления персоналом)	Stellenbosch University (Университет Стелленбос) Платформа edX	Электронный	Сертификат
A strategic approach to talent management                 (Стратегический подход к управлению талантами)	Stellenbosch University (Университет Стелленбос) Платформа edX	Электронный	Сертификат
Diversity, Equity and Inclusion (DEI) interventions (Вмешательства в области разнообразия, справедливости и инклюзивности (DEI))	Stellenbosch University (Университет Стелленбос) Платформа edX	Электронный	Сертификат
Strategic Human Resources Management                           (Стратегическое управление человеческими ресурсами)	Stellenbosch University (Университет Стелленбос) Платформа edX	Электронный	Профессиональный сертификат
Leadership in 21st Century Organizations               (Лидерство в организациях 21 века )	Copenhagen Business School (Копенгагенская школа бизнеса)                                        платформа Сoursera	Электронный	Сертификат
Environmental Protection and Sustainability                               (Защита окружающей среды и устойчивость)	IsraelX                                 Платформа edX	Электронный	Сертификат
Electric Cars: Introduction (Электромобили: Введение)	Delft University of Technology (Делфтский технический университет)                Платформа edX	Электронный	Сертификат
Electric Cars: Technology (Электромобили: технологии)	Delft University of Technology (Делфтский технический университет)                Платформа edX	Электронный	Сертификат
Electric Cars: Business (Электромобили: Бизнес)	Delft University of Technology (Делфтский технический университет)                Платформа edX	Электронный	Сертификат
Electric Cars: Policy (Электромобили: политика)	Delft University of Technology (Делфтский технический университет)                Платформа edX	Электронный	Сертификат
Professional certificate: Electric Cars                                     (Профессиональный сертификат: Электромобили)	Delft University of Technology (Делфтский технический университет)                Платформа edX	Электронный	Профессиональный сертификат
Mobile Photography: Image Management                      (Мобильная фотография: управление изображениями)	LinkedIn Learning	Электронный	Сертификат
AppliedStory: Applied Storytelling                       (Прикладное повествование)	Davidson College                  (Колледж Дэвидсон)  Платформа edX	Электронный	Сертификат
Sustainable Tourism: Society & Environmental Aspects (Устойчивый туризм: социальные и экологические аспекты)	Wageningen University & Research                              (Вагенингенский университет) Платформа edX	Электронный	Сертификат
Sustainable Tourism: Rethinking the future                       (Устойчивый туризм: переосмысление будущего)	Wageningen University & Research                              (Вагенингенский университет) Платформа edX	Электронный	Сертификат
Tourism and Climate Change             (Туризм и изменение климата)	Wageningen University & Research                              (Вагенингенский университет) Платформа edX	Электронный	Сертификат
Tourism in Transition: Exploring a Sustainable Future                  (Туризм в переходный период: в поисках устойчивого будущего)	Wageningen University & Research                              (Вагенингенский университет) Платформа edX	Электронный	Профессиональный сертификат
American Government: Constitutional Foundations (Американское правительство: конституционные основы)	Harvard University                 (Гарвардский университет)                   Платформа edX	Электронный	Сертификат
U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy (Политические институты США: Конгресс, президентство, суды и бюрократия)	Harvard University                 (Гарвардский университет)                   Платформа edX	Электронный	Сертификат
Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media (Гражданская политика в Америке: общественное мнение, выборы, группы интересов и СМИ)	Harvard University                 (Гарвардский университет)                   Платформа edX	Электронный	Сертификат
U.S. Public Policy: Social, Economic, and Foreign Policies (Государственная политика США: социальная, экономическая и внешняя политика)	Harvard University                 (Гарвардский университет)                   Платформа edX	Электронный	Сертификат
U.S. Government (Правительство США)	Harvard University                 (Гарвардский университет)                   Платформа edX	Электронный	 XSeries Program Сертификат
Intercultural Communication at Work – Land the job and do it well                              (Межкультурная коммуникация на работе – найди работу и сделай ее хорошо)	The National University of Singapore                                              (Национальный университет Сингапура)                   Платформа edX	Электронный	Сертификат
Дроны: Автономные беспилотные воздушные системы                                    (Drones: Autonomous unmanned aerial systems)	Лекториум	Электронный	Сертификат
IT Career Fundamentals (Основы ИТ-карьеры)	Charles Sturt University (Университет Чарльза Стёрта)	Электронный	Сертификат
Positive Psychology (Позитивная психология)	American Psychological Association                                              (Американская психологическая ассоциация)                   Платформа edX	Электронный	Сертификат
